name,mz,rt,W03.01,W30.01,W30.02
M114T398,114.1259172,398.481,972.9075,17238.21569,19084.64746
M115T581,115.0497422,581.337,9168.18375,2065.59,7518.0275
M115T59,115.053572,59.449,11659.73164,18113.30537,14692.39586
M115T53,115.0753333,53.4795,11544.03779,22944.38746,14233.9597
M115T686,115.0860429,686.1575,4617.380734,738.868,4110.236179
M116T565,115.714407,564.931,10485.37333,4466.302941,9799.875938
M116T459,116.027272,459.379,5747.820478,5957.214692,2248.388917
M116T728,116.0334975,727.7435,4694.229714,1395.123698,7418.606632
M116T495,116.0334818,495.3475,887.6479091,297.5937999,834.5838867
M116T564,116.0713251,564.283,2983357.588,1092084.52,3092409.869
M116T961,116.0701604,960.632,151545.8049,31918.00286,204089.7938
M116T583,116.0710081,582.653,372736.1173,162551.7838,330364.2883
M116T71,116.0702531,70.53,455.522,4046.182714,8442.043911
M116T360,116.1060638,359.631,3738.561449,704.4357808,3287.28075
M117T565,116.7132921,564.514,940.3166809,339.4682556,1009.283691
M117T478,117.0472961,478.206,2061.2993,534.1254286,1703.040907
M117T75,117.0445643,75.091,2656.29363,806.436,1115.208174
M117T463,117.0559571,462.598,1904.304513,1364.285077,1192.612368
M117T663,117.0659092,662.7295,16242.27083,11789.73533,18676.74856
M117T60,117.0680056,60.194,7385.475657,7497.065333,7767.906697
M117T564,117.0741186,564.283,129200.1643,48819.51939,133025.6315
